Station,Year,Julian_day,Hr/Min,Bvolt,Ptemp,Solar,Rain,Ambient,Humidity,WD,WS,BaromP,Atmometer,SoilT ,SoilT,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM
133,2013,5,2400,10.77,4.35,0,0,3.742,85.1,156.7,1.105,994,0.203,8.01,8.8,3.573,2.978,2.16,19.84,1.403,9.4,1.299,1.475,-18,-16,-13,-97,-10,-43,-9,-10
133,2013,8,100,11.19,-2.105,0,0,-0.339,92.2,265.9,0.503,995,0.2,7.83,8.91,3.51,2.925,2.012,20.19,1.406,9.74,1.317,1.527,-18,-16,-12,-99,-10,-44,-9,-10
133,2013,8,200,11.18,-2.309,0,0,-0.75,92.5,215.2,0.207,995,0.2,7.68,8.96,3.537,2.946,2.009,20.45,1.406,9.74,1.319,1.528,-18,-16,-12,-101,-10,-44,-9,-10
133,2013,8,300,11.17,-2.747,0,0,-1.206,93.3,237.7,0.345,996,0.2,7.51,9.01,3.575,2.966,2.006,20.67,1.405,9.74,1.319,1.529,-18,-16,-12,-102,-10,-44,-9,-10
133,2013,8,400,11.16,-2.94,0,0,-1.514,93.8,274.1,1.044,996,0.2,7.2,8.87,3.584,2.988,2.006,20.89,1.406,9.74,1.32,1.529,-18,-16,-12,-103,-10,-44,-9,-10
133,2013,8,500,11.15,-3.076,0,0,-1.783,94.4,207.2,0.627,996,0.2,7.11,8.97,3.608,3.009,2.008,21.06,1.406,9.74,1.321,1.53,-18,-16,-12,-104,-10,-44,-9,-10
133,2013,8,600,11.15,-3.121,0,0,-1.915,94.4,266,1.001,996,0.2,6.766,8.79,3.64,3.029,2.011,21.27,1.406,9.74,1.322,1.531,-18,-16,-12,-105,-10,-44,-9,-10
133,2013,8,700,11.02,-2.878,0,0,-2.059,94.2,274.3,0.602,996,0.2,6.699,8.87,3.661,3.051,2.011,21.44,1.406,9.75,1.323,1.532,-18,-16,-12,-107,-10,-44,-9,-10
133,2013,8,800,10.99,-2.734,0.005,0,-1.886,93.8,282.7,0.585,997,0.2,6.453,8.77,3.684,3.071,2.01,21.54,1.406,9.75,1.324,1.532,-19,-16,-12,-107,-10,-44,-9,-10
133,2013,8,900,10.98,-2.326,0.157,0,-1.359,92.4,274.4,1.094,998,0.2,6.096,8.53,3.708,3.09,2.01,21.75,1.404,9.75,1.325,1.533,-19,-16,-12,-108,-10,-44,-9,-10
133,2013,8,1000,11.1,-0.732,0.632,0,-0.253,89.2,257.2,1.295,999,0.2,5.164,7.71,3.73,3.108,2.01,21.7,1.404,9.76,1.326,1.534,-18,-16,-12,-106,-10,-44,-9,-10
133,2013,8,1100,11.25,2.291,0.912,0,1.718,83,237.8,1.242,999,0.2,5.096,7.64,3.745,3.12,2.011,21.19,1.404,9.76,1.327,1.534,-19,-16,-12,-103,-10,-44,-9,-10
133,2013,8,1200,11.53,5.455,1.311,0,4.117,71.7,245.2,1.34,999,0.2,4.87,7.36,3.751,3.12,2.012,20.47,1.405,9.76,1.328,1.535,-18,-16,-12,-98,-10,-43,-9,-10
133,2013,8,1300,11.57,9.67,1.336,0,6.876,60.03,188.3,1.218,998,0.202,5.012,7.32,3.742,3.107,2.013,19.64,1.406,9.77,1.351,1.535,-18,-16,-12,-93,-10,-43,-9,-10
133,2013,8,1400,11.77,12.83,1.78,0,8.98,52.77,212.8,1.398,997,0.219,5.933,7.99,3.72,3.083,2.013,18.87,1.406,9.78,1.337,1.535,-18,-16,-12,-90,-10,-44,-9,-10
